sample,rq
BI1 ,
BI1 ,2.75
BI1 ,
BI1 ,3.06
BI1 ,
BI1 ,4.008
BI1BZIP60,
BI1BZIP60,0.567
BI1BZIP60,
BI1BZIP60,0.412
BI1BZIP60,
BI1BZIP60,59.339
BZIP60,
BZIP60,665.798
BZIP60,
BZIP60,
BZIP60,
BZIP60,0.247
COL0,
COL0,17.734
COL0,
COL0,10.011
COL0,
COL0,3.187
COL0,
COL0,1
IRE1A,
IRE1A,20.129
IRE1A,
IRE1A,20.067
IRE1A,
IRE1A,58.508
IRE1A1B,
IRE1A1B,11.236
IRE1ABI1,
IRE1ABI1,0.545
IRE1B,
IRE1B,27.947
IRE1B,
IRE1B,6.715
IRE1B,
IRE1B,3.683
IRE1A1B,
IRE1A1B,5.037
IRE1A1B,
IRE1A1B,8.907
IRE1A1B,
IRE1A1B,1.543
IRE1ABI1,
IRE1ABI1,0.78
IRE1ABI1,
IRE1ABI1,0.238
IRE1A1BBI1,
IRE1A1BBI1,190.796
IRE1A1BBI1,
IRE1A1BBI1,343.047
IRE1A1BBI1,
IRE1A1BBI1,60.985
IRE1BBI1 ,
IRE1BBI1 ,2.943
IRE1BBI1 ,
IRE1BBI1 ,0.681
IRE1BBI1 ,
IRE1BBI1 ,0.296
MOCK,
MOCK,0.759
